                              signal_alias                              |                                                                                signal_name                          
 MAGNETICS/FLUX_LOOP/3/POSITION/1/PHI                                   | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=3]/geometry/@toroidalAngleBegin, type=Double, unique=113)
 MAGNETICS/FLUX_LOOP/3/POSITION/2/PHI                                   | EFITMAGXML::put(value=6.2831855, type=Double,, unique=114)
 MAGNETICS/FLUX_LOOP/4/POSITION/SHAPE_OF                                | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=4]/geometry/@rValues, /Count, unique=115)
 MAGNETICS/FLUX_LOOP/4/POSITION/1/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=4]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=116)
 MAGNETICS/FLUX_LOOP/4/POSITION/1/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=4]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=117)
 MAGNETICS/FLUX_LOOP/4/POSITION/2/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=4]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=118)
 MAGNETICS/FLUX_LOOP/4/POSITION/2/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=4]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=119)
 MAGNETICS/FLUX_LOOP/4/POSITION/1/PHI                                   | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=4]/geometry/@toroidalAngleBegin, type=Double, unique=120)
 MAGNETICS/FLUX_LOOP/4/POSITION/2/PHI                                   | EFITMAGXML::put(value=6.2831855, type=Double,, unique=121)
 MAGNETICS/FLUX_LOOP/5/POSITION/SHAPE_OF                                | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=5]/geometry/@rValues, /Count, unique=122)
 MAGNETICS/FLUX_LOOP/5/POSITION/1/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=5]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=123)
 MAGNETICS/BPOL_PROBE/2/POSITION/PHI                                    | EFITMAGXML::put(value=0, type=Double, unique=718)
 MAGNETICS/FLUX_LOOP/5/POSITION/1/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=5]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=124)
 MAGNETICS/FLUX_LOOP/5/POSITION/2/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=5]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=125)
 MAGNETICS/FLUX_LOOP/5/POSITION/2/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=5]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=126)
 MAGNETICS/FLUX_LOOP/5/POSITION/1/PHI                                   | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=5]/geometry/@toroidalAngleBegin, type=Double, unique=127)
 MAGNETICS/FLUX_LOOP/5/POSITION/2/PHI                                   | EFITMAGXML::put(value=6.2831855, type=Double,, unique=128)
 MAGNETICS/FLUX_LOOP/6/POSITION/SHAPE_OF                                | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=6]/geometry/@rValues, /Count, unique=129)
 MAGNETICS/FLUX_LOOP/6/POSITION/1/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=6]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=130)
 MAGNETICS/FLUX_LOOP/6/POSITION/1/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=6]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=131)
 MAGNETICS/FLUX_LOOP/6/POSITION/2/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=6]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=132)
 MAGNETICS/FLUX_LOOP/6/POSITION/2/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=6]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=133)
 MAGNETICS/FLUX_LOOP/6/POSITION/1/PHI                                   | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=6]/geometry/@toroidalAngleBegin, type=Double, unique=134)
 MAGNETICS/FLUX_LOOP/6/POSITION/2/PHI                                   | EFITMAGXML::put(value=6.2831855, type=Double,, unique=135)
 MAGNETICS/FLUX_LOOP/7/POSITION/SHAPE_OF                                | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=7]/geometry/@rValues, /Count, unique=136)
 MAGNETICS/FLUX_LOOP/7/POSITION/1/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=7]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=137)
 MAGNETICS/FLUX_LOOP/7/POSITION/1/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=7]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=138)
 MAGNETICS/FLUX_LOOP/7/POSITION/2/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=7]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=139)
 MAGNETICS/FLUX_LOOP/7/POSITION/2/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=7]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=140)
 MAGNETICS/FLUX_LOOP/7/POSITION/1/PHI                                   | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=7]/geometry/@toroidalAngleBegin, type=Double, unique=141)
 MAGNETICS/FLUX_LOOP/7/POSITION/2/PHI                                   | EFITMAGXML::put(value=6.2831855, type=Double,, unique=142)
 MAGNETICS/FLUX_LOOP/8/POSITION/SHAPE_OF                                | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=8]/geometry/@rValues, /Count, unique=143)
 MAGNETICS/FLUX_LOOP/8/POSITION/1/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=8]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=144)
 MAGNETICS/FLUX_LOOP/8/POSITION/1/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=8]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=145)
 MAGNETICS/FLUX_LOOP/8/POSITION/2/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=8]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=146)
 MAGNETICS/FLUX_LOOP/8/POSITION/2/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=8]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=147)
 MAGNETICS/FLUX_LOOP/8/POSITION/1/PHI                                   | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=8]/geometry/@toroidalAngleBegin, type=Double, unique=148)
 MAGNETICS/FLUX_LOOP/8/POSITION/2/PHI                                   | EFITMAGXML::put(value=6.2831855, type=Double,, unique=149)
